,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,Llama.png,9,50,resnet152,-0.29340675442399533,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
1,Llama.png,9,50,resnet152,0.19787453727158022,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
2,Llama.png,9,50,resnet152,-0.318116543404374,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
3,Llama.png,9,50,resnet152,3.483233749585136,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
4,Llama.png,9,50,resnet152,-0.41424012886547756,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
5,Llama.png,9,50,resnet152,1.2022322771649963,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
6,Llama.png,9,50,resnet152,3.211895563408088,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
7,Llama.png,9,50,resnet152,-0.36318908532741867,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
8,Llama.png,9,50,resnet152,0.06207601662655164,255,2.026067250822358,0.6979341237374342,0.7826837903134212,10
0,Llama.png,9,30,resnet152,0.5183328413419473,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
1,Llama.png,9,30,resnet152,-0.4848405816155965,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
2,Llama.png,9,30,resnet152,0.12016457766492128,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
3,Llama.png,9,30,resnet152,2.645586466238379,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
4,Llama.png,9,30,resnet152,-0.46734579113100916,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
5,Llama.png,9,30,resnet152,-0.5282480134937528,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
6,Llama.png,9,30,resnet152,2.1457584242558783,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
7,Llama.png,9,30,resnet152,1.7584886359657008,median,2.0706853796036,0.5684571441053738,0.9617964689469622,10
