,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,9,30,alexnet,-0.13913152409187957,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
1,Llama.png,9,30,alexnet,0.17661544960188236,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
2,Llama.png,9,30,alexnet,0.05906863773943272,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
3,Llama.png,9,30,alexnet,8.695760491156985,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
4,Llama.png,9,30,alexnet,0.5845214071017997,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
5,Llama.png,9,30,alexnet,0.750040575943123,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
6,Llama.png,9,30,alexnet,6.198026433528025,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
7,Llama.png,9,30,alexnet,4.307554848149403,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
8,Llama.png,9,30,alexnet,1.0135070760855145,mean,10.686011980689083,1.5527944269869087,0.3495969627403996
0,Llama.png,9,50,alexnet,-0.3369373790340924,mean,10.574399623942067,1.58137947400497,0.3468249091869918
1,Llama.png,9,50,alexnet,0.4559806206177548,mean,10.574399623942067,1.58137947400497,0.3468249091869918
2,Llama.png,9,50,alexnet,-0.06972977789140122,mean,10.574399623942067,1.58137947400497,0.3468249091869918
3,Llama.png,9,50,alexnet,9.0595343282145,mean,10.574399623942067,1.58137947400497,0.3468249091869918
4,Llama.png,9,50,alexnet,0.9012805286524421,mean,10.574399623942067,1.58137947400497,0.3468249091869918
5,Llama.png,9,50,alexnet,0.3895977913927158,mean,10.574399623942067,1.58137947400497,0.3468249091869918
6,Llama.png,9,50,alexnet,6.076442945118418,mean,10.574399623942067,1.58137947400497,0.3468249091869918
7,Llama.png,9,50,alexnet,4.136315778803106,mean,10.574399623942067,1.58137947400497,0.3468249091869918
8,Llama.png,9,50,alexnet,1.0156411796193074,mean,10.574399623942067,1.58137947400497,0.3468249091869918
0,Llama.png,9,50,alexnet,1.1254870806934214,0,9.792136509336073,1.1345717840567278,0.4743692669945554
1,Llama.png,9,50,alexnet,1.326766217332982,0,9.792136509336073,1.1345717840567278,0.4743692669945554
2,Llama.png,9,50,alexnet,0.9526029658344444,0,9.792136509336073,1.1345717840567278,0.4743692669945554
3,Llama.png,9,50,alexnet,4.617131857199823,0,9.792136509336073,1.1345717840567278,0.4743692669945554
4,Llama.png,9,50,alexnet,1.0882446249343045,0,9.792136509336073,1.1345717840567278,0.4743692669945554
5,Llama.png,9,50,alexnet,1.1831043820446316,0,9.792136509336073,1.1345717840567278,0.4743692669945554
6,Llama.png,9,50,alexnet,3.5953405859800815,0,9.792136509336073,1.1345717840567278,0.4743692669945554
7,Llama.png,9,50,alexnet,3.5516848460428405,0,9.792136509336073,1.1345717840567278,0.4743692669945554
8,Llama.png,9,50,alexnet,1.3867360976515264,0,9.792136509336073,1.1345717840567278,0.4743692669945554
0,Llama.png,9,100,alexnet,1.9315215332991742,0,8.979767571684853,1.1689196572837164,0.45553327416769906
1,Llama.png,9,100,alexnet,2.5791307130726864,0,8.979767571684853,1.1689196572837164,0.45553327416769906
2,Llama.png,9,100,alexnet,0.2691005639062476,0,8.979767571684853,1.1689196572837164,0.45553327416769906
3,Llama.png,9,100,alexnet,3.0302351905371987,0,8.979767571684853,1.1689196572837164,0.45553327416769906
4,Llama.png,9,100,alexnet,1.410392655433043,0,8.979767571684853,1.1689196572837164,0.45553327416769906
5,Llama.png,9,100,alexnet,0.6435245496455938,0,8.979767571684853,1.1689196572837164,0.45553327416769906
6,Llama.png,9,100,alexnet,3.6500270992820374,0,8.979767571684853,1.1689196572837164,0.45553327416769906
7,Llama.png,9,100,alexnet,2.132830463184253,0,8.979767571684853,1.1689196572837164,0.45553327416769906
8,Llama.png,9,100,alexnet,2.8850904931090904,0,8.979767571684853,1.1689196572837164,0.45553327416769906
0,Llama.png,9,100,alexnet,3.034717295980122,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
1,Llama.png,9,100,alexnet,4.273880785372969,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
