,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,resnet152,0.6123192521410359,0,2.6921252714933477,0.8456385157808824,0.5510903827462122
1,Llama.png,6,10,resnet152,0.4576925970442801,0,2.6921252714933477,0.8456385157808824,0.5510903827462122
2,Llama.png,6,10,resnet152,0.7553426200506659,0,2.6921252714933477,0.8456385157808824,0.5510903827462122
3,Llama.png,6,10,resnet152,6.762402755012352,0,2.6921252714933477,0.8456385157808824,0.5510903827462122
4,Llama.png,6,10,resnet152,0.43183799089609104,0,2.6921252714933477,0.8456385157808824,0.5510903827462122
5,Llama.png,6,10,resnet152,0.5920276595781393,0,2.6921252714933477,0.8456385157808824,0.5510903827462122
0,Llama.png,9,30,resnet152,0.15799951797809553,0,2.117421088064865,0.5741387800637828,0.9405568643436683
1,Llama.png,9,30,resnet152,-0.36851882131777813,0,2.117421088064865,0.5741387800637828,0.9405568643436683
2,Llama.png,9,30,resnet152,-0.08059030530467526,0,2.117421088064865,0.5741387800637828,0.9405568643436683
3,Llama.png,9,30,resnet152,2.9762004578198074,0,2.117421088064865,0.5741387800637828,0.9405568643436683
4,Llama.png,9,30,resnet152,0.5211456196975507,0,2.117421088064865,0.5741387800637828,0.9405568643436683
5,Llama.png,9,30,resnet152,-0.3763212068067976,0,2.117421088064865,0.5741387800637828,0.9405568643436683
6,Llama.png,9,30,resnet152,2.0437501843399737,0,2.117421088064865,0.5741387800637828,0.9405568643436683
7,Llama.png,9,30,resnet152,1.0780904979552022,0,2.117421088064865,0.5741387800637828,0.9405568643436683
8,Llama.png,9,30,resnet152,0.03033911303090009,0,2.117421088064865,0.5741387800637828,0.9405568643436683
0,Llama.png,6,10,resnet152,1.977019753810667,mean,2.6716537885747047,0.6190998584573002,0.7755214992972266
1,Llama.png,6,10,resnet152,0.3076600298498923,mean,2.6716537885747047,0.6190998584573002,0.7755214992972266
2,Llama.png,6,10,resnet152,0.06446409143251475,mean,2.6716537885747047,0.6190998584573002,0.7755214992972266
3,Llama.png,6,10,resnet152,3.528170424227239,mean,2.6716537885747047,0.6190998584573002,0.7755214992972266
4,Llama.png,6,10,resnet152,0.32194179263586536,mean,2.6716537885747047,0.6190998584573002,0.7755214992972266
5,Llama.png,6,10,resnet152,-0.07656997735729626,mean,2.6716537885747047,0.6190998584573002,0.7755214992972266
0,Llama.png,9,30,resnet152,0.6805076215306403,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
1,Llama.png,9,30,resnet152,-0.32504400303091574,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
2,Llama.png,9,30,resnet152,0.24816537149579132,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
3,Llama.png,9,30,resnet152,2.4726855037073108,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
4,Llama.png,9,30,resnet152,-0.36303038027677914,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
5,Llama.png,9,30,resnet152,-0.4157636739095938,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
6,Llama.png,9,30,resnet152,2.192118689781492,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
7,Llama.png,9,30,resnet152,1.8810914883369492,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
8,Llama.png,9,30,resnet152,-0.7792831569145431,mean,2.0697226179795405,0.5733849773185994,0.9504779231812811
0,Llama.png,9,50,resnet152,1.3552118795295716,0,2.1942175177500327,0.5760433337324858,0.937430642673284
1,Llama.png,9,50,resnet152,-0.38877358376489657,0,2.1942175177500327,0.5760433337324858,0.937430642673284
2,Llama.png,9,50,resnet152,-0.6660163688332947,0,2.1942175177500327,0.5760433337324858,0.937430642673284
3,Llama.png,9,50,resnet152,2.6758606251671946,0,2.1942175177500327,0.5760433337324858,0.937430642673284
4,Llama.png,9,50,resnet152,0.17099861912814596,0,2.1942175177500327,0.5760433337324858,0.937430642673284
5,Llama.png,9,50,resnet152,-0.4430816006171896,0,2.1942175177500327,0.5760433337324858,0.937430642673284
6,Llama.png,9,50,resnet152,2.5333286667881936,0,2.1942175177500327,0.5760433337324858,0.937430642673284
7,Llama.png,9,50,resnet152,0.472578677292232,0,2.1942175177500327,0.5760433337324858,0.937430642673284
8,Llama.png,9,50,resnet152,0.14435293435343066,0,2.1942175177500327,0.5760433337324858,0.937430642673284
0,Llama.png,9,50,resnet152,0.8894845805089546,mean,2.12045423332549,0.5403621772394084,0.995669589051803
1,Llama.png,9,50,resnet152,-0.2883243414611014,mean,2.12045423332549,0.5403621772394084,0.995669589051803
2,Llama.png,9,50,resnet152,-0.27761756977037677,mean,2.12045423332549,0.5403621772394084,0.995669589051803
3,Llama.png,9,50,resnet152,2.1615824623646622,mean,2.12045423332549,0.5403621772394084,0.995669589051803
4,Llama.png,9,50,resnet152,-0.6311016789380555,mean,2.12045423332549,0.5403621772394084,0.995669589051803
5,Llama.png,9,50,resnet152,-0.6103091854817816,mean,2.12045423332549,0.5403621772394084,0.995669589051803
6,Llama.png,9,50,resnet152,2.2770146981485517,mean,2.12045423332549,0.5403621772394084,0.995669589051803
7,Llama.png,9,50,resnet152,1.324543417042484,mean,2.12045423332549,0.5403621772394084,0.995669589051803
8,Llama.png,9,50,resnet152,0.6309758283743838,mean,2.12045423332549,0.5403621772394084,0.995669589051803
0,Llama.png,9,100,resnet152,2.704504921385256,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
1,Llama.png,9,100,resnet152,-0.8718249963318936,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
2,Llama.png,9,100,resnet152,-0.508818751747695,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
3,Llama.png,9,100,resnet152,2.7535550651295377,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
4,Llama.png,9,100,resnet152,-0.7249956437692694,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
5,Llama.png,9,100,resnet152,-0.7539092979049238,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
6,Llama.png,9,100,resnet152,2.08140510128008,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
7,Llama.png,9,100,resnet152,0.7545971074167925,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
8,Llama.png,9,100,resnet152,0.5311810223071204,mean,2.0786033246175735,0.6515748305783597,0.8382828512501391
0,Llama.png,9,100,resnet152,2.4198978180225046,0,2.224871505002021,0.6162490453003283,0.8746133672060036
1,Llama.png,9,100,resnet152,-0.9627061868296922,0,2.224871505002021,0.6162490453003283,0.8746133672060036
2,Llama.png,9,100,resnet152,-0.041156325679770456,0,2.224871505002021,0.6162490453003283,0.8746133672060036
