,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
20,Llama.png,30,1000,alexnet,1.3282004796640536,[10.30398605],[1.44812351],0.38911364860998715
21,Llama.png,30,1000,alexnet,1.4842888724702998,[10.30398605],[1.44812351],0.38911364860998715
22,Llama.png,30,1000,alexnet,2.6401865089071377,[10.30398605],[1.44812351],0.38911364860998715
23,Llama.png,30,1000,alexnet,2.4260148807302917,[10.30398605],[1.44812351],0.38911364860998715
24,Llama.png,30,1000,alexnet,0.962594478355161,[10.30398605],[1.44812351],0.38911364860998715
0,Llama.png,30,1000,alexnet,-0.21135025643157856,[10.30399484],[1.86647475],0.30189774834616984
1,Llama.png,30,1000,alexnet,-1.0216614900331065,[10.30399484],[1.86647475],0.30189774834616984
2,Llama.png,30,1000,alexnet,-0.33975324200202905,[10.30399484],[1.86647475],0.30189774834616984
3,Llama.png,30,1000,alexnet,-0.4656201904835555,[10.30399484],[1.86647475],0.30189774834616984
4,Llama.png,30,1000,alexnet,-0.1437753982436485,[10.30399484],[1.86647475],0.30189774834616984
5,Llama.png,30,1000,alexnet,3.2909040152403244,[10.30399484],[1.86647475],0.30189774834616984
6,Llama.png,30,1000,alexnet,-0.7670721847530055,[10.30399484],[1.86647475],0.30189774834616984
7,Llama.png,30,1000,alexnet,-0.33573419540295113,[10.30399484],[1.86647475],0.30189774834616984
8,Llama.png,30,1000,alexnet,1.6546162439003727,[10.30399484],[1.86647475],0.30189774834616984
9,Llama.png,30,1000,alexnet,-0.32296620853166225,[10.30399484],[1.86647475],0.30189774834616984
10,Llama.png,30,1000,alexnet,1.0592040533743052,[10.30399484],[1.86647475],0.30189774834616984
11,Llama.png,30,1000,alexnet,-0.07247027765898473,[10.30399484],[1.86647475],0.30189774834616984
12,Llama.png,30,1000,alexnet,0.3011061204074936,[10.30399484],[1.86647475],0.30189774834616984
13,Llama.png,30,1000,alexnet,0.4903936719308497,[10.30399484],[1.86647475],0.30189774834616984
14,Llama.png,30,1000,alexnet,0.5409909839232308,[10.30399484],[1.86647475],0.30189774834616984
15,Llama.png,30,1000,alexnet,1.2334660327381881,[10.30399484],[1.86647475],0.30189774834616984
16,Llama.png,30,1000,alexnet,1.2572708231622514,[10.30399484],[1.86647475],0.30189774834616984
17,Llama.png,30,1000,alexnet,4.2732313323028865,[10.30399484],[1.86647475],0.30189774834616984
18,Llama.png,30,1000,alexnet,0.6863130599848883,[10.30399484],[1.86647475],0.30189774834616984
19,Llama.png,30,1000,alexnet,2.287069560642287,[10.30399484],[1.86647475],0.30189774834616984
20,Llama.png,30,1000,alexnet,2.843042179502363,[10.30399484],[1.86647475],0.30189774834616984
21,Llama.png,30,1000,alexnet,0.906613735771792,[10.30399484],[1.86647475],0.30189774834616984
22,Llama.png,30,1000,alexnet,2.0836991764749224,[10.30399484],[1.86647475],0.30189774834616984
23,Llama.png,30,1000,alexnet,0.8734252081301692,[10.30399484],[1.86647475],0.30189774834616984
24,Llama.png,30,1000,alexnet,0.9134509113164047,[10.30399484],[1.86647475],0.30189774834616984
0,Llama.png,40,10,alexnet,0.8049642523830558,[10.30399689],[1.63485535],0.344669508202719
1,Llama.png,40,10,alexnet,0.6112339601923891,[10.30399689],[1.63485535],0.344669508202719
2,Llama.png,40,10,alexnet,0.32501683876693566,[10.30399689],[1.63485535],0.344669508202719
3,Llama.png,40,10,alexnet,0.375346036937767,[10.30399689],[1.63485535],0.344669508202719
4,Llama.png,40,10,alexnet,0.5267639603870595,[10.30399689],[1.63485535],0.344669508202719
5,Llama.png,40,10,alexnet,1.9342986476348236,[10.30399689],[1.63485535],0.344669508202719
6,Llama.png,40,10,alexnet,4.071111299140058,[10.30399689],[1.63485535],0.344669508202719
