,image,superpixels,compactness,model,pixel_index,shap_value,cred_width
5,Llama.png,50,1000,alexnet,5,0.9865567808953939,9.449842854352063
6,Llama.png,50,1000,alexnet,6,1.335415146705445,9.558628098470809
7,Llama.png,50,1000,alexnet,7,0.5793521309068255,9.489687269561387
8,Llama.png,50,1000,alexnet,8,0.07807722823387753,9.60808464886328
9,Llama.png,50,1000,alexnet,9,0.6928664804188158,9.442072488767256
10,Llama.png,50,1000,alexnet,10,0.5611834135577962,9.584025571770452
11,Llama.png,50,1000,alexnet,11,0.653882090890618,9.566354156723815
12,Llama.png,50,1000,alexnet,12,0.6417051183812301,9.392928978102843
13,Llama.png,50,1000,alexnet,13,1.0799437359300739,9.442415158540545
14,Llama.png,50,1000,alexnet,14,0.18661218242739164,9.523313688432044
15,Llama.png,50,1000,alexnet,15,0.2054027683165045,9.416188105499055
16,Llama.png,50,1000,alexnet,16,-0.20083808218835753,9.314342135065258
17,Llama.png,50,1000,alexnet,17,0.06931847352877796,9.294904135947565
18,Llama.png,50,1000,alexnet,18,0.227486519941678,9.39416199835406
19,Llama.png,50,1000,alexnet,19,0.33505672348616633,9.546581291696539
20,Llama.png,50,1000,alexnet,20,1.06254875787947,9.347094246340573
21,Llama.png,50,1000,alexnet,21,-0.05493732702454146,9.533855434070475
22,Llama.png,50,1000,alexnet,22,-0.464247422223135,9.597354821172251
23,Llama.png,50,1000,alexnet,23,-0.32648201353948103,9.44424824092387
24,Llama.png,50,1000,alexnet,24,-0.6012688017207868,9.426952032152098
25,Llama.png,50,1000,alexnet,25,-0.09717059548306217,9.615956328018427
26,Llama.png,50,1000,alexnet,26,0.3334205365259635,9.633657975555677
27,Llama.png,50,1000,alexnet,27,1.177766743931397,9.54899944364099
28,Llama.png,50,1000,alexnet,28,0.1649144873225783,9.419021582360845
29,Llama.png,50,1000,alexnet,29,-0.25346168057850793,9.42013536511212
30,Llama.png,50,1000,alexnet,30,-0.5438075557694972,9.463603412495415
31,Llama.png,50,1000,alexnet,31,-1.1040430544448085,9.501354811795618
32,Llama.png,50,1000,alexnet,32,-0.6036472453817181,9.401353251667942
33,Llama.png,50,1000,alexnet,33,-0.955420278956078,9.612350119213437
34,Llama.png,50,1000,alexnet,34,0.8933480036424637,9.57854901049519
35,Llama.png,50,1000,alexnet,35,0.5307399467547436,9.515735325748587
36,Llama.png,50,1000,alexnet,36,0.14163493862154652,9.555118717623696
37,Llama.png,50,1000,alexnet,37,0.05365633843800133,9.368219299172766
38,Llama.png,50,1000,alexnet,38,-0.023504072078234906,9.48189383092446
39,Llama.png,50,1000,alexnet,39,-0.3885733607052808,9.464933408168445
40,Llama.png,50,1000,alexnet,40,-0.1314176272225831,9.274192037582665
41,Llama.png,50,1000,alexnet,41,1.0575161026847155,9.673944007035841
42,Llama.png,50,1000,alexnet,42,1.2312791595713537,9.536021352970765
43,Llama.png,50,1000,alexnet,43,0.5125632515884275,9.515675888959194
44,Llama.png,50,1000,alexnet,44,0.853946582700932,9.436921602910216
45,Llama.png,50,1000,alexnet,45,0.9525027340924823,9.294809228441771
