,image,superpixels,compactness,model,shap_value,background,predicted,predicted_var,P(e = 0)
7,Llama.png,20,100,resnet152,-2.1452391098133,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
8,Llama.png,20,100,resnet152,1.1395984473428984,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
9,Llama.png,20,100,resnet152,-1.6813745752944533,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
10,Llama.png,20,100,resnet152,1.4202559873671037,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
11,Llama.png,20,100,resnet152,2.871268282374268,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
12,Llama.png,20,100,resnet152,1.9423590204757186,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
13,Llama.png,20,100,resnet152,1.247214556583839,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
14,Llama.png,20,100,resnet152,-0.9597691953043088,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
15,Llama.png,20,100,resnet152,1.0270335545660247,mean,1.5475012382081585,1.0728465332463775,0.5250394322611432
0,Llama.png,20,1000,resnet152,-1.7601583265246576,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
1,Llama.png,20,1000,resnet152,2.800449828096664,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
2,Llama.png,20,1000,resnet152,-1.266676880389542,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
3,Llama.png,20,1000,resnet152,-1.3616282650118903,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
4,Llama.png,20,1000,resnet152,-1.5441464885474803,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
5,Llama.png,20,1000,resnet152,3.2261779403590998,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
6,Llama.png,20,1000,resnet152,-2.016369002935808,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
7,Llama.png,20,1000,resnet152,-1.653355547615821,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
8,Llama.png,20,1000,resnet152,-1.5128030510771833,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
9,Llama.png,20,1000,resnet152,2.1440389445635315,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
10,Llama.png,20,1000,resnet152,2.3935561908374225,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
11,Llama.png,20,1000,resnet152,1.845432335665779,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
12,Llama.png,20,1000,resnet152,1.8220998965412236,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
13,Llama.png,20,1000,resnet152,-0.362384305310687,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
14,Llama.png,20,1000,resnet152,1.7777570100217817,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
15,Llama.png,20,1000,resnet152,2.0629911264011174,0,1.5488459210882972,0.9295752386120585,0.6059061984069248
0,Llama.png,20,1000,resnet152,-1.8419394970960303,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
1,Llama.png,20,1000,resnet152,2.5063432729640605,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
2,Llama.png,20,1000,resnet152,-2.0014213281591013,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
3,Llama.png,20,1000,resnet152,-1.828026804203339,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
4,Llama.png,20,1000,resnet152,-1.4115774565803156,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
