,Unnamed: 0,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
0,0,Llama.png,10,10,alexnet,3.084994060193589,9.56814482,1.70861939,0.2537817116512527
1,1,Llama.png,10,10,alexnet,-0.0207543174491192,9.56814482,1.70861939,0.2537817116512527
2,2,Llama.png,10,10,alexnet,1.906440009096272,9.56814482,1.70861939,0.2537817116512527
3,3,Llama.png,10,10,alexnet,11.16432763057129,9.56814482,1.70861939,0.2537817116512527
4,4,Llama.png,10,10,alexnet,1.7182736887539467,9.56814482,1.70861939,0.2537817116512527
5,5,Llama.png,10,10,alexnet,1.0360287858515211,9.56814482,1.70861939,0.2537817116512527
6,0,Llama.png,10,10,alexnet,2.2368010617120966,10.56095287,2.37152365,0.1907076205367494
7,1,Llama.png,10,10,alexnet,0.793516002219161,10.56095287,2.37152365,0.1907076205367494
8,2,Llama.png,10,10,alexnet,1.5018211350341804,10.56095287,2.37152365,0.1907076205367494
9,3,Llama.png,10,10,alexnet,15.967980957629624,10.56095287,2.37152365,0.1907076205367494
10,4,Llama.png,10,10,alexnet,1.7539069033709176,10.56095287,2.37152365,0.1907076205367494
11,5,Llama.png,10,10,alexnet,1.1026375122807677,10.56095287,2.37152365,0.1907076205367494
12,0,Llama.png,10,1000,alexnet,3.3211210897235737,10.17869649,1.33441303,0.33277755031291
13,1,Llama.png,10,1000,alexnet,2.167498295916768,10.17869649,1.33441303,0.33277755031291
14,2,Llama.png,10,1000,alexnet,0.8357987285611128,10.17869649,1.33441303,0.33277755031291
15,3,Llama.png,10,1000,alexnet,0.9410418827764442,10.17869649,1.33441303,0.33277755031291
16,4,Llama.png,10,1000,alexnet,1.6857350193183325,10.17869649,1.33441303,0.33277755031291
17,5,Llama.png,10,1000,alexnet,1.5563814442740431,10.17869649,1.33441303,0.33277755031291
18,6,Llama.png,10,1000,alexnet,2.40031713944155,10.17869649,1.33441303,0.33277755031291
19,7,Llama.png,10,1000,alexnet,2.847414226083477,10.17869649,1.33441303,0.33277755031291
20,8,Llama.png,10,1000,alexnet,3.821285439836541,10.17869649,1.33441303,0.33277755031291
21,0,Llama.png,10,1000,alexnet,2.5735055185125595,10.31829969,1.6106508,0.3390447614862004
22,1,Llama.png,10,1000,alexnet,3.56046320653225,10.31829969,1.6106508,0.3390447614862004
23,2,Llama.png,10,1000,alexnet,0.0054707711574901,10.31829969,1.6106508,0.3390447614862004
24,3,Llama.png,10,1000,alexnet,1.197186170191662,10.31829969,1.6106508,0.3390447614862004
25,4,Llama.png,10,1000,alexnet,1.6510628428855036,10.31829969,1.6106508,0.3390447614862004
26,5,Llama.png,10,1000,alexnet,0.65710661070236,10.31829969,1.6106508,0.3390447614862004
27,6,Llama.png,10,1000,alexnet,3.2540138543685417,10.31829969,1.6106508,0.3390447614862004
28,7,Llama.png,10,1000,alexnet,2.4731186088825403,10.31829969,1.6106508,0.3390447614862004
29,8,Llama.png,10,1000,alexnet,3.9413921348298473,10.31829969,1.6106508,0.3390447614862004
30,0,Llama.png,20,10,alexnet,-0.8244384099317656,10.19709267,1.61427106,0.3475204214715859
31,1,Llama.png,20,10,alexnet,1.1777321839919264,10.19709267,1.61427106,0.3475204214715859
32,2,Llama.png,20,10,alexnet,1.552741135601023,10.19709267,1.61427106,0.3475204214715859
33,3,Llama.png,20,10,alexnet,1.9884954177042409,10.19709267,1.61427106,0.3475204214715859
34,4,Llama.png,20,10,alexnet,1.7996818822942795,10.19709267,1.61427106,0.3475204214715859
35,5,Llama.png,20,10,alexnet,-0.0862235873674377,10.19709267,1.61427106,0.3475204214715859
36,6,Llama.png,20,10,alexnet,1.5705024523421791,10.19709267,1.61427106,0.3475204214715859
37,7,Llama.png,20,10,alexnet,1.310082050646615,10.19709267,1.61427106,0.3475204214715859
38,8,Llama.png,20,10,alexnet,1.9081036737639032,10.19709267,1.61427106,0.3475204214715859
39,9,Llama.png,20,10,alexnet,1.692032133347554,10.19709267,1.61427106,0.3475204214715859
40,10,Llama.png,20,10,alexnet,5.161908446237597,10.19709267,1.61427106,0.3475204214715859
41,11,Llama.png,20,10,alexnet,1.7937041306830377,10.19709267,1.61427106,0.3475204214715859
42,0,Llama.png,20,10,alexnet,1.111409567017165,10.33365638,2.16795979,0.2591220751029638
43,1,Llama.png,20,10,alexnet,0.1199153559509396,10.33365638,2.16795979,0.2591220751029638
44,2,Llama.png,20,10,alexnet,-0.2521848065017069,10.33365638,2.16795979,0.2591220751029638
45,3,Llama.png,20,10,alexnet,7.695625944566026,10.33365638,2.16795979,0.2591220751029638
46,4,Llama.png,20,10,alexnet,5.337662854220561,10.33365638,2.16795979,0.2591220751029638
47,5,Llama.png,20,10,alexnet,-0.0297754542873178,10.33365638,2.16795979,0.2591220751029638
48,6,Llama.png,20,10,alexnet,-0.0797668187911728,10.33365638,2.16795979,0.2591220751029638
49,7,Llama.png,20,10,alexnet,0.0403918088113881,10.33365638,2.16795979,0.2591220751029638
50,8,Llama.png,20,10,alexnet,0.160819450091981,10.33365638,2.16795979,0.2591220751029638
51,9,Llama.png,20,10,alexnet,3.202727356845911,10.33365638,2.16795979,0.2591220751029638
52,10,Llama.png,20,10,alexnet,2.56565438048613,10.33365638,2.16795979,0.2591220751029638
53,11,Llama.png,20,10,alexnet,1.736712147212835,10.33365638,2.16795979,0.2591220751029638
54,0,Llama.png,20,1000,alexnet,0.7193395885021543,10.29899527,1.50629228,0.3739906720565412
55,1,Llama.png,20,1000,alexnet,0.7463234154428955,10.29899527,1.50629228,0.3739906720565412
56,2,Llama.png,20,1000,alexnet,0.9136811827273532,10.29899527,1.50629228,0.3739906720565412
57,3,Llama.png,20,1000,alexnet,1.4752524084034042,10.29899527,1.50629228,0.3739906720565412
58,4,Llama.png,20,1000,alexnet,0.3845587813766977,10.29899527,1.50629228,0.3739906720565412
59,5,Llama.png,20,1000,alexnet,0.2038354379479638,10.29899527,1.50629228,0.3739906720565412
60,6,Llama.png,20,1000,alexnet,-0.338954609638173,10.29899527,1.50629228,0.3739906720565412
61,7,Llama.png,20,1000,alexnet,1.370088217188396,10.29899527,1.50629228,0.3739906720565412
