,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
1,broccoli_cauli.jpg,5,10,googlenet,1.6861610984455506,median,-2.038344984253422,0.5568063889731295,0.7938192856305454,10
2,broccoli_cauli.jpg,5,10,googlenet,1.5529616357194669,median,-2.038344984253422,0.5568063889731295,0.7938192856305454,10
3,broccoli_cauli.jpg,5,10,googlenet,-0.14785792445089552,median,-2.038344984253422,0.5568063889731295,0.7938192856305454,10
4,broccoli_cauli.jpg,5,10,googlenet,0.23995580980205602,median,-2.038344984253422,0.5568063889731295,0.7938192856305454,10
0,broccoli_cauli.jpg,9,50,googlenet,-1.4408499410332822,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
1,broccoli_cauli.jpg,9,50,googlenet,0.4978983563641477,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.43785096292078796,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
3,broccoli_cauli.jpg,9,50,googlenet,0.45664053899023815,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
4,broccoli_cauli.jpg,9,50,googlenet,1.9761466893978863,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
5,broccoli_cauli.jpg,9,50,googlenet,0.017883384535461122,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
6,broccoli_cauli.jpg,9,50,googlenet,0.4413593205025734,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
7,broccoli_cauli.jpg,9,50,googlenet,0.4423954186906509,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.18367515386821207,255,-2.7311234961689763,0.5501481784088457,0.9886269953105185,10
0,broccoli_cauli.jpg,9,30,googlenet,-0.6943206877679018,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
1,broccoli_cauli.jpg,9,30,googlenet,1.2320564679501496,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
2,broccoli_cauli.jpg,9,30,googlenet,-1.189773225938549,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
3,broccoli_cauli.jpg,9,30,googlenet,0.543970661304374,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
4,broccoli_cauli.jpg,9,30,googlenet,-0.2580164172263846,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
5,broccoli_cauli.jpg,9,30,googlenet,0.20762006396238863,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
6,broccoli_cauli.jpg,9,30,googlenet,-0.29599366546024386,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
7,broccoli_cauli.jpg,9,30,googlenet,1.8398148270178138,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
8,broccoli_cauli.jpg,9,30,googlenet,0.49861325990508865,mean,-2.8701055984506714,0.551711278149751,0.973785516747604,10
0,broccoli_cauli.jpg,9,30,googlenet,-0.6082330318821172,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
1,broccoli_cauli.jpg,9,30,googlenet,1.0442267215231191,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
2,broccoli_cauli.jpg,9,30,googlenet,-1.2485247353041473,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
3,broccoli_cauli.jpg,9,30,googlenet,0.6277662515608321,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
4,broccoli_cauli.jpg,9,30,googlenet,0.1732542587651228,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
5,broccoli_cauli.jpg,9,30,googlenet,0.027714340577610352,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
6,broccoli_cauli.jpg,9,30,googlenet,-0.4605909124667576,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
7,broccoli_cauli.jpg,9,30,googlenet,1.825573180544117,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
8,broccoli_cauli.jpg,9,30,googlenet,0.2535438674725811,median,-3.050632590029152,0.5470789402042077,0.9960851837019272,10
0,broccoli_cauli.jpg,9,50,googlenet,-1.7105364749114653,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
1,broccoli_cauli.jpg,9,50,googlenet,1.1719304884349122,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.7339075288671073,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
3,broccoli_cauli.jpg,9,50,googlenet,0.4258314481588277,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
4,broccoli_cauli.jpg,9,50,googlenet,1.7523500808919528,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
5,broccoli_cauli.jpg,9,50,googlenet,0.45866773609440714,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
6,broccoli_cauli.jpg,9,50,googlenet,-1.0944731485397585,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
7,broccoli_cauli.jpg,9,50,googlenet,1.2852663775772952,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.4672776375408594,0,-2.5044623111224205,0.5677540558888492,0.9580685208046902,10
0,broccoli_cauli.jpg,9,50,googlenet,-0.7016144921692539,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
1,broccoli_cauli.jpg,9,50,googlenet,0.969328512340512,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.3777365546789683,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
3,broccoli_cauli.jpg,9,50,googlenet,0.24739348217498747,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
4,broccoli_cauli.jpg,9,50,googlenet,1.5281710748925026,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
5,broccoli_cauli.jpg,9,50,googlenet,-0.6631528276941936,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
6,broccoli_cauli.jpg,9,50,googlenet,-0.3180748314810678,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
7,broccoli_cauli.jpg,9,50,googlenet,0.5983449242645977,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.634621756217483,mean,-3.0459278222446637,0.4432323798414329,1.2340031448818076,10
0,broccoli_cauli.jpg,9,50,googlenet,-0.7638588905290256,median,-2.9928163264060994,0.4077886938956788,1.3425641812074494,10
1,broccoli_cauli.jpg,9,50,googlenet,0.8355535730671044,median,-2.9928163264060994,0.4077886938956788,1.3425641812074494,10
