,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
3,broccoli_cauli.jpg,5,10,googlenet,-0.04905355317296402,median,0.06265460459987751,0.014045092243964916,29.988424688058966,10
4,broccoli_cauli.jpg,5,10,googlenet,-0.00015726848069211948,median,0.06265460459987751,0.014045092243964916,29.988424688058966,10
0,broccoli_cauli.jpg,9,30,googlenet,-0.03645886689329591,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
1,broccoli_cauli.jpg,9,30,googlenet,0.0819506794937083,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
2,broccoli_cauli.jpg,9,30,googlenet,-0.02844502833864801,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
3,broccoli_cauli.jpg,9,30,googlenet,0.15947055013644432,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
4,broccoli_cauli.jpg,9,30,googlenet,-0.13449165110979294,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
5,broccoli_cauli.jpg,9,30,googlenet,-0.09408978924949465,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
6,broccoli_cauli.jpg,9,30,googlenet,-0.02951358574253337,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
7,broccoli_cauli.jpg,9,30,googlenet,0.10733131415447102,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
8,broccoli_cauli.jpg,9,30,googlenet,-0.04480363218895752,0,0.08582338127294747,0.03371752409546701,15.649002851307547,10
0,broccoli_cauli.jpg,9,30,googlenet,0.003271811042862815,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
1,broccoli_cauli.jpg,9,30,googlenet,0.013889236335517658,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
2,broccoli_cauli.jpg,9,30,googlenet,0.005734700152624849,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
3,broccoli_cauli.jpg,9,30,googlenet,0.052637210577007196,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
4,broccoli_cauli.jpg,9,30,googlenet,-0.08196615265200698,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
5,broccoli_cauli.jpg,9,30,googlenet,0.0023092790611627776,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
6,broccoli_cauli.jpg,9,30,googlenet,0.029829534464147236,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
7,broccoli_cauli.jpg,9,30,googlenet,0.026432176203375072,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
8,broccoli_cauli.jpg,9,30,googlenet,-0.002389380361297346,255,0.06364597558769865,0.014057175108408513,35.80686842564945,10
0,broccoli_cauli.jpg,9,30,googlenet,-0.023551062440707874,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
1,broccoli_cauli.jpg,9,30,googlenet,0.03305921530770409,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
2,broccoli_cauli.jpg,9,30,googlenet,-0.0309750143371298,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
3,broccoli_cauli.jpg,9,30,googlenet,0.007498745173193161,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
4,broccoli_cauli.jpg,9,30,googlenet,-0.020906488149480623,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
5,broccoli_cauli.jpg,9,30,googlenet,0.0005379859035931065,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
6,broccoli_cauli.jpg,9,30,googlenet,-0.006017813391024518,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
7,broccoli_cauli.jpg,9,30,googlenet,0.08039743656609978,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
8,broccoli_cauli.jpg,9,30,googlenet,-0.0236163422092741,mean,0.053060512579093846,0.012510647986720417,41.79703064185806,10
0,broccoli_cauli.jpg,9,50,googlenet,-0.034476518172994,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
1,broccoli_cauli.jpg,9,50,googlenet,0.06420186454963944,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.008498575852855086,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
3,broccoli_cauli.jpg,9,50,googlenet,-0.029373696184488703,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
4,broccoli_cauli.jpg,9,50,googlenet,0.12601925995245972,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
5,broccoli_cauli.jpg,9,50,googlenet,-0.06437578713258084,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
6,broccoli_cauli.jpg,9,50,googlenet,0.018662836485199355,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
7,broccoli_cauli.jpg,9,50,googlenet,0.002308372709404603,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.019192259766778772,255,0.08300079398771218,0.02092936791736862,25.03952375931638,10
0,broccoli_cauli.jpg,9,30,googlenet,-0.00943663307972128,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
1,broccoli_cauli.jpg,9,30,googlenet,0.028744923074575456,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
2,broccoli_cauli.jpg,9,30,googlenet,-0.02872751909196769,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
3,broccoli_cauli.jpg,9,30,googlenet,0.00417652916753733,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
4,broccoli_cauli.jpg,9,30,googlenet,-0.017067225322122345,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
5,broccoli_cauli.jpg,9,30,googlenet,-0.006248410258708932,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
6,broccoli_cauli.jpg,9,30,googlenet,0.004075602249672567,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
7,broccoli_cauli.jpg,9,30,googlenet,0.07437423580624007,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
8,broccoli_cauli.jpg,9,30,googlenet,-0.03357903335119336,median,0.04879066612089881,0.011863757354175355,45.012298571563186,10
0,broccoli_cauli.jpg,9,50,googlenet,-0.08962181648112846,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
