,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,5,10,resnet50,-0.008658713042942155,mean,0.43080821456134594,0.030751094920198736,13.558106851966096,10
1,broccoli_cauli.jpg,5,10,resnet50,0.1163240995962094,mean,0.43080821456134594,0.030751094920198736,13.558106851966096,10
2,broccoli_cauli.jpg,5,10,resnet50,0.2825666923885312,mean,0.43080821456134594,0.030751094920198736,13.558106851966096,10
3,broccoli_cauli.jpg,5,10,resnet50,-0.026253731510836917,mean,0.43080821456134594,0.030751094920198736,13.558106851966096,10
4,broccoli_cauli.jpg,5,10,resnet50,0.02346419083146898,mean,0.43080821456134594,0.030751094920198736,13.558106851966096,10
0,broccoli_cauli.jpg,5,10,resnet50,0.004021942419374572,255,0.4219710043128765,0.026367797687008174,15.935218091378587,10
1,broccoli_cauli.jpg,5,10,resnet50,0.11023416796510879,255,0.4219710043128765,0.026367797687008174,15.935218091378587,10
2,broccoli_cauli.jpg,5,10,resnet50,0.22994004535714174,255,0.4219710043128765,0.026367797687008174,15.935218091378587,10
3,broccoli_cauli.jpg,5,10,resnet50,0.024420469442755888,255,0.4219710043128765,0.026367797687008174,15.935218091378587,10
4,broccoli_cauli.jpg,5,10,resnet50,0.02797906771238741,255,0.4219710043128765,0.026367797687008174,15.935218091378587,10
0,broccoli_cauli.jpg,5,10,resnet50,-0.003907527232789965,0,0.40120003990170255,0.02547272056703739,16.382169681926293,10
1,broccoli_cauli.jpg,5,10,resnet50,0.07454010633317987,0,0.40120003990170255,0.02547272056703739,16.382169681926293,10
2,broccoli_cauli.jpg,5,10,resnet50,0.27758724084434705,0,0.40120003990170255,0.02547272056703739,16.382169681926293,10
3,broccoli_cauli.jpg,5,10,resnet50,-0.003581250517743245,0,0.40120003990170255,0.02547272056703739,16.382169681926293,10
4,broccoli_cauli.jpg,5,10,resnet50,0.031013463646648157,0,0.40120003990170255,0.02547272056703739,16.382169681926293,10
