,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
4,broccoli_cauli.jpg,9,30,alexnet,0.0034501327306871634,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
5,broccoli_cauli.jpg,9,30,alexnet,0.021730726747694572,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
6,broccoli_cauli.jpg,9,30,alexnet,-0.0035609440979262556,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
7,broccoli_cauli.jpg,9,30,alexnet,0.10792254731293967,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
8,broccoli_cauli.jpg,9,30,alexnet,-0.0045062167247029595,255,0.17859264725973698,0.013149575205260765,40.73458908103098,10
0,broccoli_cauli.jpg,9,30,alexnet,-0.003003146734947142,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
1,broccoli_cauli.jpg,9,30,alexnet,0.04047118589242161,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
2,broccoli_cauli.jpg,9,30,alexnet,-0.014753548126086492,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
3,broccoli_cauli.jpg,9,30,alexnet,0.038321114332253735,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
4,broccoli_cauli.jpg,9,30,alexnet,-0.003397239558356734,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
5,broccoli_cauli.jpg,9,30,alexnet,0.023907859673835803,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
6,broccoli_cauli.jpg,9,30,alexnet,-0.012937730875219478,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
7,broccoli_cauli.jpg,9,30,alexnet,0.10718550488949496,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
8,broccoli_cauli.jpg,9,30,alexnet,0.013462897134114516,mean,0.17448769892500318,0.013253568243986092,39.32219812629309,10
0,broccoli_cauli.jpg,9,50,alexnet,-0.02959732058547286,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
1,broccoli_cauli.jpg,9,50,alexnet,0.03518195523399505,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
2,broccoli_cauli.jpg,9,50,alexnet,-0.015573839644502662,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
3,broccoli_cauli.jpg,9,50,alexnet,0.024053753213151237,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
4,broccoli_cauli.jpg,9,50,alexnet,0.023815065593076085,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
5,broccoli_cauli.jpg,9,50,alexnet,0.013719832285737749,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
6,broccoli_cauli.jpg,9,50,alexnet,-0.000497687206674341,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
7,broccoli_cauli.jpg,9,50,alexnet,0.11017636732119311,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
8,broccoli_cauli.jpg,9,50,alexnet,0.007204517792849276,255,0.17487037200982666,0.011766460703695573,38.708230208597904,10
0,broccoli_cauli.jpg,9,30,alexnet,0.001879481193066114,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
1,broccoli_cauli.jpg,9,30,alexnet,0.044361378559214494,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
2,broccoli_cauli.jpg,9,30,alexnet,-0.021967201108297203,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
3,broccoli_cauli.jpg,9,30,alexnet,0.040975854856483626,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
4,broccoli_cauli.jpg,9,30,alexnet,-0.03254100964225174,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
5,broccoli_cauli.jpg,9,30,alexnet,0.03345108954939606,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
6,broccoli_cauli.jpg,9,30,alexnet,0.00767586325045446,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
7,broccoli_cauli.jpg,9,30,alexnet,0.10064138636106428,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
8,broccoli_cauli.jpg,9,30,alexnet,0.01612881174129237,median,0.17839605695613034,0.013525278728643326,38.38394844999333,10
0,broccoli_cauli.jpg,9,50,alexnet,-0.03652387749673064,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
1,broccoli_cauli.jpg,9,50,alexnet,0.0010198796449937507,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
2,broccoli_cauli.jpg,9,50,alexnet,-0.04933941315426907,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
3,broccoli_cauli.jpg,9,50,alexnet,0.04696881286028127,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
4,broccoli_cauli.jpg,9,50,alexnet,0.03645191565488321,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
5,broccoli_cauli.jpg,9,50,alexnet,0.05475967570810971,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
6,broccoli_cauli.jpg,9,50,alexnet,0.05454191348664266,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
7,broccoli_cauli.jpg,9,50,alexnet,0.04199895209508443,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
8,broccoli_cauli.jpg,9,50,alexnet,0.027219027278092424,0,0.1882555551386353,0.014087802742704757,32.143992656526656,10
0,broccoli_cauli.jpg,9,50,alexnet,-0.00690295999598212,median,0.21241681856538028,0.019193561332746113,27.697285150304143,10
1,broccoli_cauli.jpg,9,50,alexnet,0.05359313069751174,median,0.21241681856538028,0.019193561332746113,27.697285150304143,10
2,broccoli_cauli.jpg,9,50,alexnet,-0.059227693517572254,median,0.21241681856538028,0.019193561332746113,27.697285150304143,10
3,broccoli_cauli.jpg,9,50,alexnet,0.00857648076370085,median,0.21241681856538028,0.019193561332746113,27.697285150304143,10
4,broccoli_cauli.jpg,9,50,alexnet,0.057966125063373446,median,0.21241681856538028,0.019193561332746113,27.697285150304143,10
5,broccoli_cauli.jpg,9,50,alexnet,0.02849612845698868,median,0.21241681856538028,0.019193561332746113,27.697285150304143,10
