,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,6,10,alexnet,0.032964681741371765,0,1.0182764983843096,0.07974734851329797,5.861356750581152
1,Llama.png,6,10,alexnet,0.028545491674090276,0,1.0182764983843096,0.07974734851329797,5.861356750581152
2,Llama.png,6,10,alexnet,0.03817081632912678,0,1.0182764983843096,0.07974734851329797,5.861356750581152
3,Llama.png,6,10,alexnet,0.9197115917336955,0,1.0182764983843096,0.07974734851329797,5.861356750581152
4,Llama.png,6,10,alexnet,0.035367224895632446,0,1.0182764983843096,0.07974734851329797,5.861356750581152
5,Llama.png,6,10,alexnet,0.024601665598545694,0,1.0182764983843096,0.07974734851329797,5.861356750581152
0,Llama.png,9,30,alexnet,0.026987396582987478,0,1.0060575536585912,0.04552871277709404,10.003773035022986
1,Llama.png,9,30,alexnet,0.09788467763822976,0,1.0060575536585912,0.04552871277709404,10.003773035022986
2,Llama.png,9,30,alexnet,0.006000299311514946,0,1.0060575536585912,0.04552871277709404,10.003773035022986
3,Llama.png,9,30,alexnet,0.3154222566186029,0,1.0060575536585912,0.04552871277709404,10.003773035022986
4,Llama.png,9,30,alexnet,0.07419397351976662,0,1.0060575536585912,0.04552871277709404,10.003773035022986
5,Llama.png,9,30,alexnet,0.09350317737438722,0,1.0060575536585912,0.04552871277709404,10.003773035022986
6,Llama.png,9,30,alexnet,0.28890520302992073,0,1.0060575536585912,0.04552871277709404,10.003773035022986
7,Llama.png,9,30,alexnet,0.20186217256169678,0,1.0060575536585912,0.04552871277709404,10.003773035022986
8,Llama.png,9,30,alexnet,0.03430549568606753,0,1.0060575536585912,0.04552871277709404,10.003773035022986
0,Llama.png,6,10,alexnet,0.010819592630855787,mean,1.0039741680383885,0.07767395303820093,5.7789061172364
1,Llama.png,6,10,alexnet,0.009234962025221595,mean,1.0039741680383885,0.07767395303820093,5.7789061172364
2,Llama.png,6,10,alexnet,0.012317176585035908,mean,1.0039741680383885,0.07767395303820093,5.7789061172364
3,Llama.png,6,10,alexnet,0.967509451281044,mean,1.0039741680383885,0.07767395303820093,5.7789061172364
4,Llama.png,6,10,alexnet,0.009789411470246943,mean,1.0039741680383885,0.07767395303820093,5.7789061172364
5,Llama.png,6,10,alexnet,0.012732587011125687,mean,1.0039741680383885,0.07767395303820093,5.7789061172364
0,Llama.png,9,30,alexnet,0.060198479927656576,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
1,Llama.png,9,30,alexnet,0.07864787924994175,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
2,Llama.png,9,30,alexnet,0.05356940665533861,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
3,Llama.png,9,30,alexnet,0.35360251570273993,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
4,Llama.png,9,30,alexnet,0.08396289069850485,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
5,Llama.png,9,30,alexnet,0.07848572736654783,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
6,Llama.png,9,30,alexnet,0.2415669983578987,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
7,Llama.png,9,30,alexnet,0.11322419656808669,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
8,Llama.png,9,30,alexnet,0.09091946134053482,mean,1.0800190679760702,0.0503575619161318,10.26080350546939
0,Llama.png,9,50,alexnet,0.11185313831069205,0,1.0351414805504326,0.05160395993054018,9.972355262832032
1,Llama.png,9,50,alexnet,0.09201361938841943,0,1.0351414805504326,0.05160395993054018,9.972355262832032
2,Llama.png,9,50,alexnet,0.05982338273882129,0,1.0351414805504326,0.05160395993054018,9.972355262832032
3,Llama.png,9,50,alexnet,0.32682049798861407,0,1.0351414805504326,0.05160395993054018,9.972355262832032
4,Llama.png,9,50,alexnet,0.08415192077937247,0,1.0351414805504326,0.05160395993054018,9.972355262832032
5,Llama.png,9,50,alexnet,0.0785459391110882,0,1.0351414805504326,0.05160395993054018,9.972355262832032
6,Llama.png,9,50,alexnet,0.22222768511713548,0,1.0351414805504326,0.05160395993054018,9.972355262832032
7,Llama.png,9,50,alexnet,0.20916346134840652,0,1.0351414805504326,0.05160395993054018,9.972355262832032
8,Llama.png,9,50,alexnet,-0.0008891283884257962,0,1.0351414805504326,0.05160395993054018,9.972355262832032
0,Llama.png,9,50,alexnet,0.047251006805954364,mean,1.0582697182452232,0.05714348130340063,9.251802420547824
1,Llama.png,9,50,alexnet,0.052006285092162007,mean,1.0582697182452232,0.05714348130340063,9.251802420547824
2,Llama.png,9,50,alexnet,0.04110092436773896,mean,1.0582697182452232,0.05714348130340063,9.251802420547824
