,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
5,Llama.png,9,100,visiontransformer,0.03932386446423318,0,0.9280507821368351,0.05754436547933389,9.411806889784158
6,Llama.png,9,100,visiontransformer,0.10816912955406985,0,0.9280507821368351,0.05754436547933389,9.411806889784158
7,Llama.png,9,100,visiontransformer,0.10877304370046845,0,0.9280507821368351,0.05754436547933389,9.411806889784158
8,Llama.png,9,100,visiontransformer,0.014553716504548134,0,0.9280507821368351,0.05754436547933389,9.411806889784158
0,Llama.png,9,100,visiontransformer,0.09641899280255381,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
1,Llama.png,9,100,visiontransformer,0.041562254854269204,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
2,Llama.png,9,100,visiontransformer,-0.021282768189117757,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
3,Llama.png,9,100,visiontransformer,0.27513566483983926,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
4,Llama.png,9,100,visiontransformer,-0.004772161547523968,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
5,Llama.png,9,100,visiontransformer,-0.021111672997899192,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
6,Llama.png,9,100,visiontransformer,0.08168736839683921,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
7,Llama.png,9,100,visiontransformer,0.31371246752069015,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
8,Llama.png,9,100,visiontransformer,0.028776613663055433,mean,0.9452768048215933,0.05059303669613229,10.225928638473897
0,Llama.png,9,1000,visiontransformer,0.07339377542937117,0,0.9250060771217605,0.03492236191116486,14.827602624172705
1,Llama.png,9,1000,visiontransformer,0.1272848368936985,0,0.9250060771217605,0.03492236191116486,14.827602624172705
2,Llama.png,9,1000,visiontransformer,0.07161831225791954,0,0.9250060771217605,0.03492236191116486,14.827602624172705
3,Llama.png,9,1000,visiontransformer,0.09338530263269967,0,0.9250060771217605,0.03492236191116486,14.827602624172705
4,Llama.png,9,1000,visiontransformer,0.20306372809417936,0,0.9250060771217605,0.03492236191116486,14.827602624172705
5,Llama.png,9,1000,visiontransformer,0.06731189835974731,0,0.9250060771217605,0.03492236191116486,14.827602624172705
6,Llama.png,9,1000,visiontransformer,0.10617432797561563,0,0.9250060771217605,0.03492236191116486,14.827602624172705
7,Llama.png,9,1000,visiontransformer,0.13947323132038353,0,0.9250060771217605,0.03492236191116486,14.827602624172705
8,Llama.png,9,1000,visiontransformer,0.07805299888658566,0,0.9250060771217605,0.03492236191116486,14.827602624172705
0,Llama.png,9,1000,visiontransformer,0.1464266731425104,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
1,Llama.png,9,1000,visiontransformer,0.02262831093051352,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
2,Llama.png,9,1000,visiontransformer,0.005990987287437147,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
3,Llama.png,9,1000,visiontransformer,0.11726430877957297,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
4,Llama.png,9,1000,visiontransformer,0.1823656720533707,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
5,Llama.png,9,1000,visiontransformer,0.07559994520456717,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
