,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
0,Llama.png,9,30,resnet152,0.008610371122398125,0,0.9020621786954497,0.05078147342731831,10.07978866938727
1,Llama.png,9,30,resnet152,0.0007540603021763334,0,0.9020621786954497,0.05078147342731831,10.07978866938727
2,Llama.png,9,30,resnet152,0.0523039999807805,0,0.9020621786954497,0.05078147342731831,10.07978866938727
3,Llama.png,9,30,resnet152,0.39988263672303853,0,0.9020621786954497,0.05078147342731831,10.07978866938727
4,Llama.png,9,30,resnet152,0.028293255583002153,0,0.9020621786954497,0.05078147342731831,10.07978866938727
5,Llama.png,9,30,resnet152,-0.021700155837279203,0,0.9020621786954497,0.05078147342731831,10.07978866938727
6,Llama.png,9,30,resnet152,0.1998755368396764,0,0.9020621786954497,0.05078147342731831,10.07978866938727
7,Llama.png,9,30,resnet152,0.08427315511524225,0,0.9020621786954497,0.05078147342731831,10.07978866938727
8,Llama.png,9,30,resnet152,0.062272904631429774,0,0.9020621786954497,0.05078147342731831,10.07978866938727
0,Llama.png,6,10,resnet152,0.003125492877392555,0,0.8232551040843135,0.0633021536957192,6.89094303507302
1,Llama.png,6,10,resnet152,-0.00042145352692372906,0,0.8232551040843135,0.0633021536957192,6.89094303507302
2,Llama.png,6,10,resnet152,-0.0009400866897357862,0,0.8232551040843135,0.0633021536957192,6.89094303507302
3,Llama.png,6,10,resnet152,0.8159656877922894,0,0.8232551040843135,0.0633021536957192,6.89094303507302
4,Llama.png,6,10,resnet152,-0.00534553976320816,0,0.8232551040843135,0.0633021536957192,6.89094303507302
5,Llama.png,6,10,resnet152,0.0049879088821422335,0,0.8232551040843135,0.0633021536957192,6.89094303507302
0,Llama.png,6,10,resnet152,0.2504878492357873,mean,0.8923606921403843,0.06142967749680859,7.21565917237357
1,Llama.png,6,10,resnet152,-0.013715447997322222,mean,0.8923606921403843,0.06142967749680859,7.21565917237357
2,Llama.png,6,10,resnet152,0.035474495259858116,mean,0.8923606921403843,0.06142967749680859,7.21565917237357
3,Llama.png,6,10,resnet152,0.5131560505877063,mean,0.8923606921403843,0.06142967749680859,7.21565917237357
4,Llama.png,6,10,resnet152,-0.029569915046927887,mean,0.8923606921403843,0.06142967749680859,7.21565917237357
5,Llama.png,6,10,resnet152,-0.034545881830998285,mean,0.8923606921403843,0.06142967749680859,7.21565917237357
0,Llama.png,9,30,resnet152,0.041366180265965134,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
1,Llama.png,9,30,resnet152,0.019304290174448444,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
2,Llama.png,9,30,resnet152,0.06215052875053853,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
3,Llama.png,9,30,resnet152,0.2757950578640689,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
4,Llama.png,9,30,resnet152,0.004492852223869422,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
5,Llama.png,9,30,resnet152,-0.01928555427620561,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
6,Llama.png,9,30,resnet152,0.24046046175149402,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
7,Llama.png,9,30,resnet152,0.193866381175186,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
8,Llama.png,9,30,resnet152,-0.025528374799742043,mean,0.9204066252615298,0.05024795723074764,10.454754279674079
0,Llama.png,9,50,resnet152,0.043697844149805556,0,0.8988306450712529,0.053719554647018115,9.762626925076896
1,Llama.png,9,50,resnet152,-0.01768601213137269,0,0.8988306450712529,0.053719554647018115,9.762626925076896
2,Llama.png,9,50,resnet152,0.052488204968970595,0,0.8988306450712529,0.053719554647018115,9.762626925076896
3,Llama.png,9,50,resnet152,0.4228807899868977,0,0.8988306450712529,0.053719554647018115,9.762626925076896
4,Llama.png,9,50,resnet152,0.003935326210105651,0,0.8988306450712529,0.053719554647018115,9.762626925076896
5,Llama.png,9,50,resnet152,-0.00247509637599469,0,0.8988306450712529,0.053719554647018115,9.762626925076896
6,Llama.png,9,50,resnet152,0.2279479746093222,0,0.8988306450712529,0.053719554647018115,9.762626925076896
7,Llama.png,9,50,resnet152,0.03903321734673616,0,0.8988306450712529,0.053719554647018115,9.762626925076896
8,Llama.png,9,50,resnet152,0.07596310160778275,0,0.8988306450712529,0.053719554647018115,9.762626925076896
0,Llama.png,9,50,resnet152,0.09448211250502904,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
1,Llama.png,9,50,resnet152,0.004502545659578111,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
2,Llama.png,9,50,resnet152,0.018060401595106218,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
3,Llama.png,9,50,resnet152,0.3439702216514292,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
4,Llama.png,9,50,resnet152,0.03626034480055575,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
5,Llama.png,9,50,resnet152,-0.0080534860442945,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
6,Llama.png,9,50,resnet152,0.27026916054195316,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
7,Llama.png,9,50,resnet152,0.07259699788648337,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
8,Llama.png,9,50,resnet152,-0.0006299343839296125,mean,0.9099808529016397,0.051987183663019375,9.919468585755308
