,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
4,Llama.png,9,50,vgg16,0.019385379444283563,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
5,Llama.png,9,50,vgg16,0.03848730311273017,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
6,Llama.png,9,50,vgg16,0.15180875902082402,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
7,Llama.png,9,50,vgg16,0.13614802707370846,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
8,Llama.png,9,50,vgg16,0.04868409849634348,mean,1.0779988885075316,0.060302183614461685,8.835198736333595
0,Llama.png,9,100,vgg16,0.1822309720842306,0,1.06349152113451,0.05037220640669971,10.697133647391382
1,Llama.png,9,100,vgg16,0.1406582776413192,0,1.06349152113451,0.05037220640669971,10.697133647391382
2,Llama.png,9,100,vgg16,0.01038369932943596,0,1.06349152113451,0.05037220640669971,10.697133647391382
3,Llama.png,9,100,vgg16,0.30055304007410594,0,1.06349152113451,0.05037220640669971,10.697133647391382
4,Llama.png,9,100,vgg16,0.030378397024932724,0,1.06349152113451,0.05037220640669971,10.697133647391382
5,Llama.png,9,100,vgg16,0.08998873001576191,0,1.06349152113451,0.05037220640669971,10.697133647391382
6,Llama.png,9,100,vgg16,0.13709036555923765,0,1.06349152113451,0.05037220640669971,10.697133647391382
7,Llama.png,9,100,vgg16,0.12161385802386374,0,1.06349152113451,0.05037220640669971,10.697133647391382
8,Llama.png,9,100,vgg16,0.12607603182602298,0,1.06349152113451,0.05037220640669971,10.697133647391382
0,Llama.png,9,100,vgg16,0.2110402526983818,mean,1.086514154678199,0.049526572054975807,10.536783237409537
1,Llama.png,9,100,vgg16,0.08286060469068407,mean,1.086514154678199,0.049526572054975807,10.536783237409537
2,Llama.png,9,100,vgg16,0.07180753850475335,mean,1.086514154678199,0.049526572054975807,10.536783237409537
3,Llama.png,9,100,vgg16,0.2701013359004666,mean,1.086514154678199,0.049526572054975807,10.536783237409537
4,Llama.png,9,100,vgg16,0.06661455151956394,mean,1.086514154678199,0.049526572054975807,10.536783237409537
5,Llama.png,9,100,vgg16,0.06802458504147046,mean,1.086514154678199,0.049526572054975807,10.536783237409537
6,Llama.png,9,100,vgg16,0.18221257426748183,mean,1.086514154678199,0.049526572054975807,10.536783237409537
7,Llama.png,9,100,vgg16,0.09091289870852892,mean,1.086514154678199,0.049526572054975807,10.536783237409537
8,Llama.png,9,100,vgg16,0.12862943804489235,mean,1.086514154678199,0.049526572054975807,10.536783237409537
0,Llama.png,9,1000,vgg16,0.11597360762176223,0,1.0834606135448082,0.04699616151376884,11.157673050795838
1,Llama.png,9,1000,vgg16,0.12826687462166791,0,1.0834606135448082,0.04699616151376884,11.157673050795838
2,Llama.png,9,1000,vgg16,0.028139505576037255,0,1.0834606135448082,0.04699616151376884,11.157673050795838
3,Llama.png,9,1000,vgg16,0.15320445326756213,0,1.0834606135448082,0.04699616151376884,11.157673050795838
4,Llama.png,9,1000,vgg16,0.23834931939033896,0,1.0834606135448082,0.04699616151376884,11.157673050795838
5,Llama.png,9,1000,vgg16,0.11625150122999509,0,1.0834606135448082,0.04699616151376884,11.157673050795838
6,Llama.png,9,1000,vgg16,0.06068430440043155,0,1.0834606135448082,0.04699616151376884,11.157673050795838
7,Llama.png,9,1000,vgg16,0.13860589930597478,0,1.0834606135448082,0.04699616151376884,11.157673050795838
8,Llama.png,9,1000,vgg16,0.12398957941225676,0,1.0834606135448082,0.04699616151376884,11.157673050795838
0,Llama.png,9,1000,vgg16,0.23872056391882635,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
1,Llama.png,9,1000,vgg16,0.1730453578384534,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
2,Llama.png,9,1000,vgg16,0.008737855862093939,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
3,Llama.png,9,1000,vgg16,0.11735270521881015,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
4,Llama.png,9,1000,vgg16,0.16062975198749316,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
5,Llama.png,9,1000,vgg16,0.07380872216999265,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
6,Llama.png,9,1000,vgg16,0.120819031779913,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
7,Llama.png,9,1000,vgg16,0.1143405484799975,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
8,Llama.png,9,1000,vgg16,0.11406684794025584,mean,1.0988170997392097,0.048136561855978144,10.870049163520607
0,Llama.png,12,10,vgg16,0.07976918281241098,0,1.003772589743533,0.038689592102035444,14.46395871642784
1,Llama.png,12,10,vgg16,0.0680084003530444,0,1.003772589743533,0.038689592102035444,14.46395871642784
2,Llama.png,12,10,vgg16,0.05318846730164885,0,1.003772589743533,0.038689592102035444,14.46395871642784
3,Llama.png,12,10,vgg16,0.25083483354439334,0,1.003772589743533,0.038689592102035444,14.46395871642784
4,Llama.png,12,10,vgg16,0.06835995544379668,0,1.003772589743533,0.038689592102035444,14.46395871642784
5,Llama.png,12,10,vgg16,0.06488419487515441,0,1.003772589743533,0.038689592102035444,14.46395871642784
6,Llama.png,12,10,vgg16,0.06067767414399719,0,1.003772589743533,0.038689592102035444,14.46395871642784
7,Llama.png,12,10,vgg16,0.05420965325467122,0,1.003772589743533,0.038689592102035444,14.46395871642784
8,Llama.png,12,10,vgg16,0.08206325090186592,0,1.003772589743533,0.038689592102035444,14.46395871642784
9,Llama.png,12,10,vgg16,0.09206431355790785,0,1.003772589743533,0.038689592102035444,14.46395871642784
10,Llama.png,12,10,vgg16,0.14478864180899828,0,1.003772589743533,0.038689592102035444,14.46395871642784
11,Llama.png,12,10,vgg16,0.06819006220284653,0,1.003772589743533,0.038689592102035444,14.46395871642784
0,Llama.png,12,10,vgg16,0.042977962753004695,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
1,Llama.png,12,10,vgg16,0.0286594694410241,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
2,Llama.png,12,10,vgg16,0.034292099289611945,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
3,Llama.png,12,10,vgg16,0.6073547125051378,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
4,Llama.png,12,10,vgg16,0.0659116826117549,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
5,Llama.png,12,10,vgg16,0.025844258275514977,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
6,Llama.png,12,10,vgg16,0.02869571898337081,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
7,Llama.png,12,10,vgg16,0.02764111645668618,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
8,Llama.png,12,10,vgg16,0.048156626011409916,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
9,Llama.png,12,10,vgg16,0.036438232793613745,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
10,Llama.png,12,10,vgg16,0.06944537659723334,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
11,Llama.png,12,10,vgg16,0.026318125098358694,mean,1.0083762725296717,0.06234751862373942,8.95201935553397
0,Llama.png,16,30,vgg16,0.03782443687302756,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
1,Llama.png,16,30,vgg16,0.042147147057335785,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
2,Llama.png,16,30,vgg16,0.04192451078748157,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
3,Llama.png,16,30,vgg16,0.03936224009296466,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
4,Llama.png,16,30,vgg16,0.2390885240096442,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
5,Llama.png,16,30,vgg16,0.03783180016200758,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
6,Llama.png,16,30,vgg16,0.04091889727175588,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
7,Llama.png,16,30,vgg16,0.03680106760761423,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
8,Llama.png,16,30,vgg16,0.03849331284419147,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
9,Llama.png,16,30,vgg16,0.2272029913764441,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
10,Llama.png,16,30,vgg16,0.03820224791591763,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
11,Llama.png,16,30,vgg16,0.041433945184279716,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
12,Llama.png,16,30,vgg16,0.04864921715180522,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
13,Llama.png,16,30,vgg16,0.04763943921552867,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
14,Llama.png,16,30,vgg16,0.04201855609021128,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
15,Llama.png,16,30,vgg16,0.039696282399279394,mean,1.0002119923540962,0.036666042210882606,15.362547288995303
0,Llama.png,16,30,vgg16,0.036730003295210686,0,1.0002299999730266,0.0472971495892497,11.908205697792926
1,Llama.png,16,30,vgg16,0.037968534125382924,0,1.0002299999730266,0.0472971495892497,11.908205697792926
2,Llama.png,16,30,vgg16,0.03496642171085672,0,1.0002299999730266,0.0472971495892497,11.908205697792926
3,Llama.png,16,30,vgg16,0.0362341796924425,0,1.0002299999730266,0.0472971495892497,11.908205697792926
4,Llama.png,16,30,vgg16,0.44463863872304477,0,1.0002299999730266,0.0472971495892497,11.908205697792926
5,Llama.png,16,30,vgg16,0.03373029496623871,0,1.0002299999730266,0.0472971495892497,11.908205697792926
6,Llama.png,16,30,vgg16,0.03841431087903396,0,1.0002299999730266,0.0472971495892497,11.908205697792926
7,Llama.png,16,30,vgg16,0.035900480713181325,0,1.0002299999730266,0.0472971495892497,11.908205697792926
8,Llama.png,16,30,vgg16,0.035135792171370764,0,1.0002299999730266,0.0472971495892497,11.908205697792926
9,Llama.png,16,30,vgg16,0.0365237338123144,0,1.0002299999730266,0.0472971495892497,11.908205697792926
10,Llama.png,16,30,vgg16,0.03855125566580739,0,1.0002299999730266,0.0472971495892497,11.908205697792926
11,Llama.png,16,30,vgg16,0.03690626704673627,0,1.0002299999730266,0.0472971495892497,11.908205697792926
12,Llama.png,16,30,vgg16,0.06961738996217699,0,1.0002299999730266,0.0472971495892497,11.908205697792926
13,Llama.png,16,30,vgg16,0.04319652975368714,0,1.0002299999730266,0.0472971495892497,11.908205697792926
14,Llama.png,16,30,vgg16,0.03956406029664132,0,1.0002299999730266,0.0472971495892497,11.908205697792926
15,Llama.png,16,30,vgg16,0.038298707315426866,0,1.0002299999730266,0.0472971495892497,11.908205697792926
0,Llama.png,16,50,vgg16,0.027843481127433525,0,1.0000018108859772,0.06047135819787429,9.315008916839844
1,Llama.png,16,50,vgg16,0.028697091161726442,0,1.0000018108859772,0.06047135819787429,9.315008916839844
2,Llama.png,16,50,vgg16,0.028287045459895563,0,1.0000018108859772,0.06047135819787429,9.315008916839844
3,Llama.png,16,50,vgg16,0.027481531427718645,0,1.0000018108859772,0.06047135819787429,9.315008916839844
4,Llama.png,16,50,vgg16,0.5935230949610444,0,1.0000018108859772,0.06047135819787429,9.315008916839844
5,Llama.png,16,50,vgg16,0.028293562795067548,0,1.0000018108859772,0.06047135819787429,9.315008916839844
6,Llama.png,16,50,vgg16,0.02822519717716913,0,1.0000018108859772,0.06047135819787429,9.315008916839844
7,Llama.png,16,50,vgg16,0.02676499713836923,0,1.0000018108859772,0.06047135819787429,9.315008916839844
8,Llama.png,16,50,vgg16,0.03189204533292045,0,1.0000018108859772,0.06047135819787429,9.315008916839844
9,Llama.png,16,50,vgg16,0.02717881145857845,0,1.0000018108859772,0.06047135819787429,9.315008916839844
10,Llama.png,16,50,vgg16,0.02807726902857558,0,1.0000018108859772,0.06047135819787429,9.315008916839844
11,Llama.png,16,50,vgg16,0.029180615818390543,0,1.0000018108859772,0.06047135819787429,9.315008916839844
12,Llama.png,16,50,vgg16,0.030836917196598087,0,1.0000018108859772,0.06047135819787429,9.315008916839844
13,Llama.png,16,50,vgg16,0.03176482130624448,0,1.0000018108859772,0.06047135819787429,9.315008916839844
14,Llama.png,16,50,vgg16,0.0281978091034816,0,1.0000018108859772,0.06047135819787429,9.315008916839844
15,Llama.png,16,50,vgg16,0.031579009425638196,0,1.0000018108859772,0.06047135819787429,9.315008916839844
0,Llama.png,16,50,vgg16,0.04845795432667144,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
1,Llama.png,16,50,vgg16,0.049557718446131487,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
2,Llama.png,16,50,vgg16,0.05186123184985116,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
3,Llama.png,16,50,vgg16,0.04912046924308481,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
4,Llama.png,16,50,vgg16,0.17584066368498222,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
5,Llama.png,16,50,vgg16,0.05079436149405353,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
6,Llama.png,16,50,vgg16,0.04997265669598071,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
7,Llama.png,16,50,vgg16,0.05199442061403843,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
8,Llama.png,16,50,vgg16,0.15398971681818918,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
9,Llama.png,16,50,vgg16,0.05049480317292343,mean,1.0001317547663007,0.030806439336053586,18.283512408823192
